serial_number,model,duration,event_observed,smart_5_raw,smart_9_raw,smart_187_raw,smart_188_raw,smart_194_raw,smart_197_raw,smart_198_raw
ZL21C1DE,ST16000NM001G,90,0,0.0,20068.0,0.0,0.0,32.0,0.0,0.0
ZL21CMVL,ST16000NM001G,90,0,0.0,14850.0,0.0,0.0,33.0,0.0,0.0
ZL21CW3N,ST16000NM001G,90,0,0.0,45433.0,0.0,0.0,32.0,0.0,0.0
ZL21D8FB,ST16000NM001G,90,0,0.0,42095.0,0.0,0.0,27.0,0.0,0.0
ZL21DB8G,ST16000NM001G,90,0,0.0,45358.0,0.0,0.0,27.0,0.0,0.0
ZL21DC4Z,ST16000NM001G,53,0,0.0,1241.0,0.0,0.0,42.0,0.0,0.0
ZL21DYK6,ST16000NM001G,90,0,0.0,45357.0,0.0,0.0,21.0,0.0,0.0
ZL21E13J,ST16000NM001G,90,0,0.0,42100.0,0.0,0.0,28.0,0.0,0.0
ZL21E2SP,ST16000NM001G,90,0,0.0,42089.0,0.0,0.0,35.0,0.0,0.0
ZL21E7EQ,ST16000NM001G,90,0,0.0,42764.0,0.0,0.0,42.0,0.0,0.0
ZL21EGA9,ST16000NM001G,90,0,0.0,43004.0,0.0,0.0,37.0,0.0,0.0
ZL21F838,ST16000NM001G,90,0,0.0,43001.0,0.0,0.0,36.0,0.0,0.0
ZL21G3R9,ST16000NM001G,90,0,0.0,42084.0,0.0,4295032833.0,31.0,0.0,0.0
ZL21G5Y6,ST16000NM001G,90,0,0.0,8643.0,0.0,0.0,40.0,0.0,0.0
ZL21GD5E,ST16000NM001G,90,0,0.0,45435.0,0.0,0.0,34.0,0.0,0.0
ZL21GLE5,ST16000NM001G,90,0,0.0,27500.0,0.0,0.0,40.0,0.0,0.0
ZL21GV9X,ST16000NM001G,90,0,0.0,42087.0,0.0,0.0,28.0,0.0,0.0
ZL21H814,ST16000NM001G,52,0,0.0,1228.0,0.0,0.0,42.0,0.0,0.0
ZL21H9GX,ST16000NM001G,45,0,8.0,1056.0,0.0,0.0,43.0,0.0,0.0
ZL21HYRR,ST16000NM001G,90,0,0.0,42788.0,0.0,0.0,30.0,0.0,0.0
ZL21JP5M,ST16000NM001G,1,1,0.0,3982.0,464.0,0.0,29.0,32.0,32.0
ZL21JSP0,ST16000NM001G,90,0,0.0,44299.0,0.0,0.0,38.0,0.0,0.0
ZL21JZ02,ST16000NM001G,90,0,0.0,4556.0,0.0,0.0,40.0,0.0,0.0
ZL21KL3Z,ST16000NM001G,90,0,0.0,7000.0,0.0,0.0,41.0,32.0,32.0
ZL21KTS7,ST16000NM001G,90,0,0.0,45367.0,0.0,0.0,30.0,0.0,0.0
ZL21LJXV,ST16000NM001G,90,0,0.0,14323.0,0.0,0.0,24.0,0.0,0.0
ZL21LL2J,ST16000NM001G,90,0,0.0,42094.0,0.0,0.0,34.0,0.0,0.0
ZL21LL4W,ST16000NM001G,90,0,0.0,45361.0,0.0,0.0,32.0,0.0,0.0
ZL21LL5B,ST16000NM001G,90,0,0.0,44308.0,0.0,0.0,43.0,0.0,0.0
ZL21LLFE,ST16000NM001G,90,0,0.0,11266.0,0.0,0.0,31.0,0.0,0.0
ZL21LLHY,ST16000NM001G,90,0,0.0,42793.0,0.0,0.0,30.0,0.0,0.0
ZL21LME7,ST16000NM001G,90,0,0.0,45362.0,0.0,0.0,29.0,0.0,0.0
ZL21LMJZ,ST16000NM001G,90,0,0.0,45358.0,0.0,0.0,26.0,0.0,0.0
ZL21LMLM,ST16000NM001G,90,0,560.0,45366.0,5.0,0.0,29.0,16.0,16.0
ZL21LNKA,ST16000NM001G,90,0,0.0,43009.0,0.0,0.0,32.0,0.0,0.0
ZL21LZEL,ST16000NM001G,90,0,0.0,45358.0,0.0,0.0,31.0,0.0,0.0
ZL21M43H,ST16000NM001G,90,0,0.0,39518.0,0.0,0.0,29.0,0.0,0.0
ZL21MHYL,ST16000NM001G,90,0,0.0,45364.0,0.0,0.0,28.0,0.0,0.0
ZL21MWJA,ST16000NM001G,90,0,0.0,45182.0,0.0,0.0,26.0,0.0,0.0
ZL21MY9Z,ST16000NM001G,9,0,0.0,4633.0,0.0,0.0,35.0,0.0,0.0
ZL21MYWN,ST16000NM001G,90,0,0.0,45356.0,0.0,0.0,27.0,0.0,0.0
ZL21NBB0,ST16000NM001G,47,0,0.0,1102.0,0.0,0.0,42.0,0.0,0.0
ZL21P9Z7,ST16000NM001G,90,0,0.0,42772.0,0.0,0.0,20.0,0.0,0.0
ZL21PL5X,ST16000NM001G,90,0,0.0,44316.0,0.0,0.0,34.0,0.0,0.0
ZL21PSZM,ST16000NM001G,90,0,0.0,43008.0,0.0,0.0,31.0,0.0,0.0
ZL21PZ39,ST16000NM001G,90,0,8.0,45357.0,6.0,0.0,28.0,0.0,0.0
ZL21Q2L2,ST16000NM001G,90,0,0.0,45424.0,0.0,0.0,29.0,0.0,0.0
ZL21Q97D,ST16000NM001G,90,0,0.0,42092.0,0.0,12885098499.0,34.0,0.0,0.0
ZL21QWYC,ST16000NM001G,90,0,0.0,44337.0,0.0,0.0,34.0,0.0,0.0
ZL21R0S0,ST16000NM001G,90,0,0.0,42763.0,0.0,0.0,41.0,0.0,0.0
ZL21R84A,ST16000NM001G,90,0,0.0,42093.0,0.0,0.0,27.0,0.0,0.0
ZL21RSYS,ST16000NM001G,90,0,0.0,42799.0,0.0,0.0,30.0,0.0,0.0
ZL21RX19,ST16000NM001G,90,0,0.0,45358.0,0.0,103080919093.0,29.0,0.0,0.0
ZL21SXNF,ST16000NM001G,90,0,0.0,42763.0,0.0,0.0,39.0,0.0,0.0
ZL21T6S0,ST16000NM001G,90,0,0.0,45359.0,0.0,0.0,24.0,0.0,0.0
ZL21W71K,ST16000NM001G,90,0,0.0,45362.0,0.0,0.0,28.0,0.0,0.0
ZL21WH55,ST16000NM001G,90,0,26792.0,42770.0,941.0,38655361056.0,39.0,0.0,0.0
ZL21WXED,ST16000NM001G,90,0,0.0,42097.0,2.0,21475753998.0,28.0,0.0,0.0
ZL21XQL8,ST16000NM001G,90,0,0.0,43011.0,0.0,0.0,31.0,0.0,0.0
ZL21Y4ZH,ST16000NM001G,90,0,0.0,7156.0,0.0,0.0,40.0,0.0,0.0
ZL21Y8DT,ST16000NM001G,45,0,0.0,1055.0,87.0,65538.0,41.0,64.0,64.0
ZL21YG7Q,ST16000NM001G,90,0,0.0,44304.0,0.0,0.0,34.0,0.0,0.0
ZL21Z0VA,ST16000NM001G,90,0,0.0,42796.0,0.0,0.0,32.0,0.0,0.0
ZL21Z4Q1,ST16000NM001G,90,0,0.0,42762.0,0.0,0.0,42.0,0.0,0.0
ZL21Z5H2,ST16000NM001G,90,0,0.0,42102.0,0.0,0.0,35.0,0.0,0.0
ZL21Z8D8,ST16000NM001G,90,0,0.0,43012.0,0.0,0.0,35.0,0.0,0.0
ZL21ZT5F,ST16000NM001G,90,0,0.0,39576.0,0.0,0.0,31.0,0.0,0.0
ZL21ZVL5,ST16000NM001G,5,1,3824.0,94.0,1.0,38655885330.0,29.0,5368.0,5368.0
ZL220NMN,ST16000NM001G,90,0,0.0,42094.0,0.0,0.0,31.0,0.0,0.0
ZL220WCB,ST16000NM001G,90,0,0.0,42762.0,0.0,0.0,36.0,0.0,0.0
ZL2216M6,ST16000NM001G,90,0,0.0,39874.0,0.0,0.0,37.0,0.0,0.0
ZL221B9P,ST16000NM001G,90,0,0.0,44338.0,0.0,0.0,34.0,0.0,0.0
ZL221BG6,ST16000NM001G,90,0,0.0,45369.0,0.0,0.0,21.0,0.0,0.0
ZL221BL9,ST16000NM001G,90,0,0.0,45361.0,0.0,0.0,32.0,0.0,0.0
ZL221BNY,ST16000NM001G,90,0,0.0,45361.0,0.0,0.0,31.0,0.0,0.0
ZL221BPS,ST16000NM001G,90,0,0.0,44302.0,0.0,0.0,28.0,0.0,0.0
ZL221BQ1,ST16000NM001G,90,0,0.0,45361.0,0.0,0.0,30.0,0.0,0.0
ZL221BQ6,ST16000NM001G,90,0,0.0,45369.0,0.0,0.0,21.0,0.0,0.0
ZL221BSM,ST16000NM001G,90,0,0.0,45358.0,0.0,0.0,29.0,0.0,0.0
ZL221C5L,ST16000NM001G,90,0,0.0,45360.0,0.0,0.0,29.0,0.0,0.0
ZL221CZG,ST16000NM001G,90,0,0.0,45371.0,0.0,0.0,21.0,0.0,0.0
ZL221CZK,ST16000NM001G,90,0,0.0,44307.0,0.0,73015558165.0,39.0,0.0,0.0
ZL221E8E,ST16000NM001G,90,0,0.0,43003.0,0.0,0.0,37.0,0.0,0.0
ZL221L7E,ST16000NM001G,90,0,0.0,42093.0,0.0,0.0,39.0,0.0,0.0
ZL221Q2C,ST16000NM001G,90,0,0.0,42098.0,0.0,0.0,27.0,0.0,0.0
ZL2227WS,ST16000NM001G,90,0,0.0,45437.0,0.0,0.0,24.0,0.0,0.0
